#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,6.41E+00
4.00E-02,3.69E+00
6.00E-02,2.66E+00
8.00E-02,2.11E+00
1.00E-01,1.77E+00
1.20E-01,1.53E+00
1.40E-01,1.35E+00
1.60E-01,1.22E+00
1.80E-01,1.11E+00
2.00E-01,1.02E+00
2.20E-01,9.50E-01
2.40E-01,8.89E-01
2.60E-01,8.37E-01
2.80E-01,7.92E-01
3.00E-01,7.52E-01
3.20E-01,7.17E-01
3.40E-01,6.86E-01
3.60E-01,6.59E-01
3.80E-01,6.34E-01
4.00E-01,6.11E-01
4.20E-01,5.91E-01
4.40E-01,5.72E-01
4.60E-01,5.55E-01
4.80E-01,5.39E-01
5.00E-01,5.24E-01
5.20E-01,5.11E-01
5.40E-01,4.98E-01
5.60E-01,4.86E-01
5.80E-01,4.75E-01
6.00E-01,4.65E-01
6.20E-01,4.55E-01
6.40E-01,4.46E-01
6.60E-01,4.38E-01
6.80E-01,4.30E-01
7.00E-01,4.22E-01
7.20E-01,4.15E-01
7.40E-01,4.08E-01
7.60E-01,4.02E-01
7.80E-01,3.96E-01
8.00E-01,3.90E-01
8.20E-01,3.85E-01
8.40E-01,3.79E-01
8.60E-01,3.74E-01
8.80E-01,3.70E-01
9.00E-01,3.65E-01
9.20E-01,3.61E-01
9.40E-01,3.56E-01
9.60E-01,3.52E-01
9.80E-01,3.48E-01
1.00E+00,3.45E-01
1.02E+00,3.41E-01
1.04E+00,3.38E-01
1.06E+00,3.35E-01
1.08E+00,3.31E-01
1.10E+00,3.28E-01
1.12E+00,3.25E-01
1.14E+00,3.23E-01
1.16E+00,3.20E-01
1.18E+00,3.17E-01
1.20E+00,3.15E-01
1.22E+00,3.12E-01
1.24E+00,3.10E-01
1.26E+00,3.08E-01
1.28E+00,3.05E-01
1.30E+00,3.03E-01
1.32E+00,3.01E-01
1.34E+00,2.99E-01
1.36E+00,2.97E-01
1.38E+00,2.95E-01
1.40E+00,2.93E-01
1.42E+00,2.92E-01
1.44E+00,2.90E-01
1.46E+00,2.88E-01
1.48E+00,2.87E-01
1.50E+00,2.85E-01
1.52E+00,2.83E-01
1.54E+00,2.82E-01
1.56E+00,2.80E-01
1.58E+00,2.79E-01
1.60E+00,2.78E-01
1.62E+00,2.76E-01
1.64E+00,2.75E-01
1.66E+00,2.74E-01
1.68E+00,2.72E-01
1.70E+00,2.71E-01
1.72E+00,2.70E-01
1.74E+00,2.69E-01
1.76E+00,2.68E-01
1.78E+00,2.67E-01
1.80E+00,2.66E-01
1.82E+00,2.65E-01
1.84E+00,2.64E-01
1.86E+00,2.63E-01
1.88E+00,2.62E-01
1.90E+00,2.61E-01
1.92E+00,2.60E-01
1.94E+00,2.59E-01
1.96E+00,2.58E-01
1.98E+00,2.57E-01
2.00E+00,2.56E-01
