#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.67E-02
4.00E-02,1.53E-02
6.00E-02,1.10E-02
8.00E-02,8.73E-03
1.00E-01,7.32E-03
1.20E-01,6.31E-03
1.40E-01,5.58E-03
1.60E-01,5.02E-03
1.80E-01,4.58E-03
2.00E-01,4.22E-03
2.20E-01,3.92E-03
2.40E-01,3.67E-03
2.60E-01,3.45E-03
2.80E-01,3.27E-03
3.00E-01,3.10E-03
3.20E-01,2.95E-03
3.40E-01,2.82E-03
3.60E-01,2.71E-03
3.80E-01,2.61E-03
4.00E-01,2.51E-03
4.20E-01,2.43E-03
4.40E-01,2.35E-03
4.60E-01,2.29E-03
4.80E-01,2.22E-03
5.00E-01,2.16E-03
5.20E-01,2.11E-03
5.40E-01,2.05E-03
5.60E-01,2.00E-03
5.80E-01,1.96E-03
6.00E-01,1.91E-03
6.20E-01,1.87E-03
6.40E-01,1.84E-03
6.60E-01,1.80E-03
6.80E-01,1.77E-03
7.00E-01,1.73E-03
7.20E-01,1.70E-03
7.40E-01,1.68E-03
7.60E-01,1.65E-03
7.80E-01,1.63E-03
8.00E-01,1.60E-03
8.20E-01,1.58E-03
8.40E-01,1.56E-03
8.60E-01,1.54E-03
8.80E-01,1.52E-03
9.00E-01,1.50E-03
9.20E-01,1.48E-03
9.40E-01,1.47E-03
9.60E-01,1.45E-03
9.80E-01,1.44E-03
1.00E+00,1.42E-03
1.02E+00,1.41E-03
1.04E+00,1.39E-03
1.06E+00,1.38E-03
1.08E+00,1.36E-03
1.10E+00,1.35E-03
1.12E+00,1.34E-03
1.14E+00,1.33E-03
1.16E+00,1.32E-03
1.18E+00,1.30E-03
1.20E+00,1.29E-03
1.22E+00,1.28E-03
1.24E+00,1.27E-03
1.26E+00,1.26E-03
1.28E+00,1.26E-03
1.30E+00,1.25E-03
1.32E+00,1.24E-03
1.34E+00,1.23E-03
1.36E+00,1.22E-03
1.38E+00,1.21E-03
1.40E+00,1.21E-03
1.42E+00,1.20E-03
1.44E+00,1.19E-03
1.46E+00,1.18E-03
1.48E+00,1.18E-03
1.50E+00,1.17E-03
1.52E+00,1.17E-03
1.54E+00,1.16E-03
1.56E+00,1.15E-03
1.58E+00,1.15E-03
1.60E+00,1.14E-03
1.62E+00,1.14E-03
1.64E+00,1.13E-03
1.66E+00,1.13E-03
1.68E+00,1.12E-03
1.70E+00,1.12E-03
1.72E+00,1.11E-03
1.74E+00,1.11E-03
1.76E+00,1.10E-03
1.78E+00,1.10E-03
1.80E+00,1.09E-03
1.82E+00,1.09E-03
1.84E+00,1.08E-03
1.86E+00,1.08E-03
1.88E+00,1.08E-03
1.90E+00,1.07E-03
1.92E+00,1.07E-03
1.94E+00,1.06E-03
1.96E+00,1.06E-03
1.98E+00,1.06E-03
2.00E+00,1.05E-03
